country_code,country_advantage,n_works
GR; KR; US,4.294985250572759,78
DE; GB; US,3.1517713173514537,103
GB; US,1.8209295720150867,271
GB; IN,1.7878860176529576,59
CH; US,1.605451042270262,80
PS,1.5270832782278954,90
SA; US,1.473513144556738,59
CN; FR,1.315600716671039,67
AT; US,1.2912114401970407,50
CA; CN,1.2827483978102625,144
EG; US,1.2796927971518863,61
BN,1.2740184146438993,81
BG,1.2405192732537003,126
ES; GB,1.2072837243669527,72
GB; TR,1.2007676527383921,56
AE,1.1941576896925392,1857
IS,1.1866199825679273,54
RO,1.1656571049948075,898
BD,1.1623504483009464,2245
UG,1.161861178307884,112
KW,1.158371110257564,206
CN; PK,1.1510926465311893,84
NP,1.1483286620746678,99
KE,1.1437178635144472,89
OM,1.1338585902751463,265
AU,1.1333028195461285,10180
DE; GB,1.1245848673692673,157
CN; MO,1.1231422146115775,172
ID,1.1184184479123787,1688
LU,1.1156593485226185,200
DE; FR,1.1109885585138524,54
ZA,1.1066710320901465,829
QA,1.0940223123141086,816
EG,1.093535344924293,3047
SK,1.091272390045425,243
CY,1.0909808225684954,293
IQ,1.0908767540948303,1139
SG,1.089790737477541,4319
MY,1.089327344580004,2952
CN; US,1.086300299569056,475
GB,1.0851457776214968,17540
US,1.0846717854716408,62131
CZ,1.0827762779156895,840
CN; SG,1.081231737295048,309
NZ,1.0773845071194996,876
AE; EG,1.0743727234188378,54
HK,1.0737160678952877,5309
LB,1.0725275764736568,163
AU; GB,1.0682842460022934,82
NL; US,1.0622864872773314,117
LT,1.058024531126746,259
YE,1.0564440629313472,86
NG,1.0561379187736124,752
PK; SA,1.052955210896228,51
AU; CN,1.0524375759919993,188
SA,1.0484657782365772,7235
CA,1.04203096255385,7667
PK,1.0401278028458085,4610
IT; US,1.034621176002835,94
CN; JP,1.034200972815833,95
TR,1.0312190597807704,4368
LK,1.0292389423254713,154
IN,1.0288431122633719,20760
JO,1.026750525987443,919
CH; DE,1.0259512808570452,84
IR,1.0254100393131034,5458
SE,1.0251744151896471,2380
GR,1.0197366686817968,2314
CM,1.0134132282212158,161
DE; NL,1.013059316584809,79
GB; IT,1.0120718836306188,92
DE,1.0109022228854687,14930
ET,1.0108145709958536,433
CN; HK,1.009438143840822,735
BE,1.0075805472358759,1913
,1.0073046035852724,69172
PL,1.0066880551611768,2140
RS,1.002607087156309,595
CN; DE,1.0015715174644122,134
CH,0.9999372264312769,4358
UZ,0.9970150423143335,222
AT,0.994121207131665,1692
PH,0.9889958710211834,219
KR; US,0.9875692854479041,136
CN,0.9874805996261977,177466
GH,0.9867965636512198,263
AR,0.9849841987818287,245
ES,0.9848145403937917,6457
CN; GB,0.983857961590766,368
GB; SA,0.982742054022365,57
DE; US,0.9804870721692861,244
MA,0.9791106256919399,1386
IE,0.9786350596521453,1068
FI,0.9758600920403148,1467
SA; TN,0.975663517608116,59
BH,0.9736635467537091,54
GB; NL,0.9734654926149798,62
HR,0.9681005679734181,281
DZ,0.9650455405835977,892
NL,0.9553739101563714,5161
EG; SA,0.9553341180420173,294
SI,0.9523652047317773,261
CN; MY,0.9522564210391945,55
HU,0.9508193790704799,662
NO,0.9484128075460557,1630
IT,0.9480493820545629,12261
BA,0.9458659678808129,75
JP; US,0.9401745944489805,63
TH,0.9370395804515311,1060
FR,0.9366310516197264,5915
IL,0.9362513267422863,1198
LV,0.9339395983164489,65
CN; KR,0.9333983280444452,107
ES; US,0.9310544292729094,71
DK,0.9267585408736163,2149
EC,0.9218382743807203,311
TN,0.9204330634408722,440
RU,0.915052172486162,1569
MX,0.9115144885528199,1156
TW,0.9105954249317924,2740
PT,0.9052403208504332,1849
KR,0.9050508948109727,10792
KZ,0.9048295215558594,336
AU; US,0.9026413111379004,86
VN,0.8953082564642293,1231
BR,0.8950775567454623,2741
JP,0.889115617704471,5316
MO,0.8780640404524125,884
PE,0.870872051295856,210
IN; US,0.868890130837734,81
FR; US,0.8541463357746545,134
CA; US,0.8449001192452897,152
UA,0.8443996836444837,342
CL,0.8382410977503708,633
CO,0.8315533180777298,474
DK; US,0.8101507609553553,74
CN; NL,0.7909997569945817,51
TZ,0.7842341294885595,71
EE,0.7438489012895141,237
