country_code,avg_share_top10,n_works
GR; KR; US,1.0,78
DE; GB; US,0.7348484848484849,103
BN,0.28290858078092124,81
PS,0.2763718263718264,90
UG,0.25201285077366903,112
SA; TN,0.2196969696969697,59
LU,0.21616422048717085,200
CA; CN,0.21285284350352843,144
KE,0.21241830065359477,89
AT; US,0.19301801801801802,50
BA,0.1894305372566242,75
GB; IT,0.1881926683716965,92
YE,0.18443223443223444,86
SA; US,0.1841099163679809,59
BD,0.17694128938532563,2245
ES; GB,0.1753565062388592,72
CH; US,0.17135076252723314,80
BH,0.17070707070707072,54
KW,0.1703081232492997,206
EG; US,0.16868279569892475,61
CN; PK,0.16710887678629613,84
BG,0.16614643825009678,126
NL; US,0.16429438843231947,117
OM,0.16298553587838174,265
LB,0.1566764132553606,163
CN; FR,0.15595238095238095,67
GB; IN,0.15253411306042883,59
GB; US,0.15247222778779582,271
IT; US,0.1520696324951644,94
ZA,0.15061735777618315,829
DE; US,0.15007165260653255,244
PK; SA,0.14629629629629629,51
LT,0.14455592716462282,259
RO,0.1428857567450318,898
AE,0.14099757474298716,1857
SG,0.13952715434011145,4319
ET,0.13730124697105828,433
NG,0.13671072373519247,752
MY,0.1361242983062622,2952
GR,0.13548036063180194,2314
AU; CN,0.1346745416512858,188
SE,0.1330079009502639,2380
ES; US,0.1319628647214854,71
DE; GB,0.12990125816212772,157
NZ,0.1298557837097968,876
BE,0.12891905268615317,1913
SA,0.12847275495374547,7235
HK,0.1269319787796648,5309
GB,0.12657564581092537,17540
EG,0.12606779252995606,3047
IR,0.12576434954303425,5458
IQ,0.1254741853820195,1139
AU,0.12508022092130364,10180
US,0.12417472992824803,62131
SK,0.12102336239660183,243
PK,0.12071668155900846,4610
CN; SG,0.12003465707734001,309
IN,0.11636506462832669,20760
CA,0.11396902234592922,7667
CN; GB,0.11314509492740844,368
PH,0.11177215189873417,219
AU; GB,0.1115079365079365,82
MA,0.11127308803627599,1386
DE,0.11054562862064503,14930
HU,0.11026038125456422,662
DK; US,0.10932539682539683,74
RS,0.10878698489317958,595
GB; SA,0.10855683269476372,57
IS,0.10833333333333334,54
,0.10680765992465652,69172
CM,0.10621541081311196,161
HR,0.10572270866388513,281
PL,0.10485428421248899,2140
CN,0.10447336266066087,177466
QA,0.10369592281356987,816
DK,0.1032221282982206,2149
CH; DE,0.10289115646258502,84
LK,0.10251322751322751,154
RU,0.10212332576199186,1569
CZ,0.10199371213863967,840
TR,0.10037561850069077,4368
NP,0.09987080103359174,99
CH,0.09924935165877546,4358
IL,0.09892591192273216,1198
IE,0.09871122050769517,1068
ES,0.09866067913494625,6457
JO,0.09825632597585417,919
CN; MO,0.09817393530577262,172
IT,0.09806551436867435,12261
CY,0.09797875126049482,293
CN; DE,0.09735210323445616,134
CN; HK,0.09705224821403557,735
DZ,0.0969936836642426,892
PE,0.09635728575573721,210
CN; JP,0.09529411764705882,95
GB; NL,0.0934640522875817,62
EC,0.0929406850459482,311
EG; SA,0.09206431900423817,294
FI,0.09145446507515474,1467
BR,0.09132600994599589,2741
FR,0.09053081572170267,5915
GH,0.0895977879782262,263
AT,0.08932017066764823,1692
CN; US,0.08597865646783048,475
JP; US,0.08518518518518518,63
DE; NL,0.0835978835978836,79
PT,0.0826035740692564,1849
TW,0.08255971130870156,2740
IN; US,0.08158508158508158,81
AE; EG,0.08125,54
MX,0.07836099514645488,1156
NO,0.07783127294965225,1630
UA,0.07771400039441277,342
UZ,0.07695283439964291,222
TN,0.075912624858408,440
CN; MY,0.07463768115942028,55
NL,0.07407757379689565,5161
GB; TR,0.07407407407407407,56
TH,0.07253930079486022,1060
DE; FR,0.07142857142857142,54
KR,0.07090910933411627,10792
KZ,0.07003856404210113,336
CL,0.06897617450076109,633
AR,0.06886952969042522,245
VN,0.06678416210807452,1231
ID,0.06496924814131085,1688
JP,0.06309987221747913,5316
SI,0.05835040871537222,261
KR; US,0.05757575757575758,136
CN; KR,0.05575242145050791,107
TZ,0.05555555555555555,71
MO,0.05422566704588188,884
CO,0.050083515204423106,474
FR; US,0.047932151705736614,134
LV,0.04738562091503268,65
CA; US,0.04469158686026156,152
AU; US,0.042207792207792215,86
CN; NL,0.03333333333333333,51
EE,0.026502836743800596,237
