institution_name,institution_median_norm,p90,n_works
Australian Institute for Musculoskeletal Science,10.512302825778685,10.512302825778685,76
Western Health,10.512302825778685,10.512302825778685,84
United States Department of Health and Human Services,4.294985250572759,4.294985250572759,79
University Hospital of Heraklion,4.294985250572759,4.294985250572759,84
University of California System,4.294985250572759,4.294985250572759,129
University of Crete,4.294985250572759,4.294985250572759,117
Bohai University,1.5299595661931418,2.749999999159722,341
Collaborative Innovation Center of Chemistry for Energy Materials,1.4424552429224822,2.379530916687067,118
Pontifícia Universidade Católica do Paraná,1.4158415841070155,3.3979406419301665,61
National Center for Tumor Diseases,1.3818989630131604,3.536523929350773,161
National Guard Health Affairs,1.3732833957124446,9.59266802438131,56
University of Concepción,1.3255255831447337,1.5779816513182392,54
Xinjiang Technical Institute of Physics & Chemistry,1.2707856597786082,2.0731154965433496,96
Karolinska University Hospital,1.2702953505137031,1.6712132584041115,118
Guizhou University of Finance and Economics,1.242680234198188,1.9661016948347216,107
University of Mohaghegh Ardabili,1.2107638888555718,2.430130235765345,79
Hainan Normal University,1.2079772076124058,2.693708698402373,90
German University in Cairo,1.204770952042158,2.3036282701783986,66
Jahangirnagar University,1.183486238499537,2.7863652362354925,72
National Research Tomsk State University,1.1716203259475448,2.058563569072816,56
RIKEN Center for Advanced Photonics,1.1715976330598368,1.9573560766463782,55
Michigan United,1.1564625849553427,3.4686222050260693,55
Ulsan College,1.156171284595445,4.294985250572759,196
Tangshan College,1.144783902514875,3.849575682679518,86
Google (United Kingdom),1.1403632515862632,3.215874924816588,168
Shandong Management University,1.1279800378481182,2.190907732848429,57
Islamic University,1.1276102087589097,2.9542857134922778,95
Helmholtz-Zentrum Dresden-Rossendorf,1.120461706949996,3.536523929350773,122
Tabriz University of Medical Sciences,1.1046046526206115,2.174936657181302,61
Jet Propulsion Laboratory,1.1046046526206115,1.258575197859295,151
Hefei National Center for Physical Sciences at Nanoscale,1.1000343760440006,2.9803921563952325,136
Wellcome Sanger Institute,1.0991273403614874,2.6004514671981824,68
Bursa Uludağ Üni̇versi̇tesi̇,1.087468328590651,2.566383788453012,78
Central Queensland University,1.087468328590651,2.3620840629800632,99
Center for Cancer Research,1.087468328590651,2.24154209277503,68
Hebei Medical University,1.087468328590651,2.174936657181302,80
University of Arkansas at Fayetteville,1.087468328590651,1.9606732584015854,61
Chengdu University of Traditional Chinese Medicine,1.087468328590651,1.9030695750336393,114
Shanghai Sixth People's Hospital,1.087468328590651,1.8362416107148398,80
Universidad de León,1.087468328590651,1.7243650046404044,58
University of Bisha,1.087468328590651,1.5851760616103272,55
University of Kragujevac,1.0873786407027997,3.596133189979097,61
Alibaba Group (United States),1.0863836017148034,2.8240740739433297,53
University of Trieste,1.0857777566531974,1.469248347617774,97
Brigham Young University,1.0814132104089231,5.478242317659314,61
Universiti Tenaga Nasional,1.081171268842144,1.7953837304986588,146
Kafrelsheikh University,1.0770051194198091,2.304288424915505,155
Southwestern Medical Center,1.076989536305096,1.4806060317998146,53
Hamad Medical Corporation,1.0763551992698683,2.789126747867044,59
University Town of Shenzhen,1.0748111770232311,2.5826007880064474,156
Alfaisal University,1.0729964051752585,2.5005140859160933,70
Xinjiang Medical University,1.0687601513116225,1.6312024928859765,54
