venue,median_norm,p90,n_works
Food Control,0.9554140126779992,1.3903448275401817,59
Journal of Food Composition and Analysis,0.928571428505102,1.4501930501232008,74
International Journal of Biological Macromolecules,0.916666666386574,1.6361958566141228,55
Applied Mathematical Modelling,0.91525423725711,1.6020466899188412,77
Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,0.9152542370089055,1.5424066854889273,74
SN Computer Science,0.9110889110543243,1.450549450023427,93
Journal of Biomedical Informatics,0.910958904065913,1.568440678873922,59
Computerized Medical Imaging and Graphics,0.9107142856654974,1.5535714284882014,51
IEEE Transactions on Visualization and Computer Graphics,0.9032258060437044,1.5274024172062939,73
Physical Review Research,0.902735562272988,1.3781420764048318,59
Journal of Alloys and Compounds,0.8969072164650512,1.488201603616085,63
Nature Computational Science,0.8967889907783805,1.8264520643423419,61
IEEE Transactions on Affective Computing,0.8965517240760998,1.4590677834555814,59
Frontiers in Neuroscience,0.8947368417049861,1.5168510819617964,70
Computers in Human Behavior,0.8823994934753887,1.621928397435643,62
Small,0.882352940916955,1.628362290792694,116
The International Journal of Advanced Manufacturing Technology,0.880134115637882,1.5088013410935122,90
International Journal of Computational and Experimental Science and Engineering,0.8787878785948117,1.6401643552806986,90
IEEE Transactions on Smart Grid,0.8780213602797416,1.564474423771176,99
Signal Image and Video Processing,0.8768115941679532,1.4746376811006485,83
"Computers, materials & continua/Computers, materials & continua (Print)",0.8709677418975547,1.3935483870360874,55
Aerospace Science and Technology,0.8708530805326068,1.545479625407258,174
The Journal of Chemical Physics,0.8666666662911111,1.3469387754778068,60
Transportation Research Part C Emerging Technologies,0.8657243815719076,1.6538581245937782,109
Physical review. D/Physical review. D.,0.8650306745971997,1.4977684870852281,127
Sensors and Actuators B Chemical,0.8641975308144083,1.718389244318042,50
Mechanism and Machine Theory,0.8640483383346447,1.3130378163330243,60
Ain Shams Engineering Journal,0.8633093524869313,1.5433070865291092,73
IEEE Transactions on Industry Applications,0.8606557376678816,1.7727272722035123,51
Journal of Manufacturing Processes,0.8591224018168213,1.4096973186296977,79
Water Resources Management,0.8576388888323085,1.77321265582201,52
Food Chemistry,0.8568548386664891,1.6229838708859392,149
International Journal of Hydrogen Energy,0.8541666664234664,1.679999999941687,194
IEEE Transactions on Power Systems,0.8535871156330599,1.5442166910088997,82
Computers and Geotechnics,0.8532110091473502,1.7079404763790367,55
Computers & Industrial Engineering,0.8531951640199976,1.5277777773109567,155
Materials Today Communications,0.851276881582332,1.710430107075231,72
IEEE Journal of Biomedical and Health Informatics,0.8510490175161105,1.6786680911903438,230
International Journal of Applied Earth Observation and Geoinformation,0.8486842104662937,1.576923076871271,141
Construction and Building Materials,0.8467153284395792,1.5627000277170469,108
Infrared Physics & Technology,0.8461538461205449,1.6403361343435061,52
Applied Thermal Engineering,0.8461538459151874,1.6307692306263226,109
Computers & Chemical Engineering,0.845731431384126,1.7922987163858184,66
IEEE Transactions on Consumer Electronics,0.8450704222971633,1.6966835133055385,79
IEEE Transactions on Automation Science and Engineering,0.8408602150121726,1.592178770442714,161
Information Processing & Management,0.84069478904976,1.5402332092246238,152
Analytical Chemistry,0.8382352938834342,1.5276702599298893,93
Process Safety and Environmental Protection,0.836617927502021,1.6078947367426695,114
Philosophical Transactions of the Royal Society B Biological Sciences,0.8333333331018518,1.6666666662037035,56
Physics of Fluids,0.8333333331018518,1.505226646392169,137
International Journal of Information Technology,0.8328126734483248,1.5093965300713355,108
Finance research letters,0.831889081432738,1.5778162911174263,78
Digital Signal Processing,0.831168831111261,1.5322580640465662,82
Intelligent Systems with Applications,0.8308270676160749,1.465655327674243,55
Journal of Manufacturing Systems,0.8306997742232368,1.813657603206097,153
Computer-Aided Civil and Infrastructure Engineering,0.8285714285285204,1.4799651567343248,107
Forests,0.8285385500270274,1.5020931167624252,62
Annals of Operations Research,0.8275862068751487,1.7017241378870251,55
Journal of Retailing and Consumer Services,0.82758620686542,2.0786645904294043,77
International Journal of Mechanical Sciences,0.8272927309750266,1.6848029499403592,160
Journal of Dentistry,0.8265856949788601,1.4476576050876953,50
Healthcare Analytics,0.8256880733717701,1.7559633027039647,59
Big Data and Cognitive Computing,0.8246589186324462,1.588977597676366,65
Environmental Science and Pollution Research,0.8240418118158241,1.6110032361468962,70
Alexandria Engineering Journal,0.8238341966649575,1.647668393329915,196
Thin-Walled Structures,0.823157894696984,1.4647811706795484,53
Foods,0.8230088493317409,1.6323534287872292,92
